statistical-codes	83fc2e04-1871-4be6-8e14-27a3ac7b9d2c	Harrassowitz
statistical-codes	633e0e11-2f21-406d-8dbd-420f8f79c756	E-Book
statistical-codes	022724e5-80c0-4369-bf9e-0f82a30efd6f	Gelöscht in K10plus
statistical-codes	20dc11ae-6a94-4ad5-8ddf-c0ce707e6257	Kein Nachweis in K10plus
statistical-codes	bb76b1c1-c9df-445c-8deb-68bb3580edc2	Computer files, CDs, etc (compfiles)
statistical-codes	91b8f0b4-0e13-4270-9fd6-e39203d0f449	Non-music sound recordings (rnonmusic)
statistical-codes	16f2d65e-eb68-4ab1-93e3-03af50cb7370	Microfiche (mfiche)
statistical-codes	e10796e0-a594-47b7-b748-3a81b69b3d9b	Streaming audio (audstream)
statistical-codes	9d8abbe2-1a94-4866-8731-4d12ac09f7a8	Books, electronic (ebooks)
statistical-codes	1c622d0f-2e91-4c30-ba43-2750f9735f51	Microfilm (mfilm)
statistical-codes	2850630b-cd12-4379-af57-5c51491a6873	Mixed media (mmedia)
statistical-codes	0868921a-4407-47c9-9b3e-db94644dbae7	Entry not found
statistical-codes	d82c025e-436d-4006-a677-bd2b4cdb7692	Manuscripts (mss)
statistical-codes	775b6ad4-9c35-4d29-bf78-8775a9b42226	Serials, print (serials)
statistical-codes	ecab577d-a050-4ea2-8a86-ea5a234283ea	Music scores, electronic
statistical-codes	b5968c9e-cddc-4576-99e3-8e60aed8b0dd	Book, print (books)
statistical-codes	97e91f57-fad7-41ea-a660-4031bf8d4ea8	Maps, print (maps)
statistical-codes	264c4f94-1538-43a3-8b40-bed68384b31b	Do not share with OCLC
statistical-codes	972f81d5-9f8f-4b56-a10e-5c05419718e6	Visual materials, DVDs, etc. (visual)
statistical-codes	b2c0e100-0485-43f2-b161-3c60aac9f68a	Visual, static, electronic
statistical-codes	0e516e54-bf36-4fc2-a0f7-3fe89a61c9c0	Inactive serial
statistical-codes	6899291a-1fb9-4130-98ce-b40368556818	Music sound recordings
statistical-codes	b6b46869-f3c1-4370-b603-29774a1e42b1	Archives (arch)
statistical-codes	f47b773a-bd5f-4246-ac1e-fa4adcd0dcdf	University of Chicago Press Imprint
statistical-codes	30b5400d-0b9e-4757-a3d0-db0d30a49e72	Music scores, print (music)
statistical-codes	38249f9e-13f8-48bc-a010-8023cd194af5	Information Technology Services (its)
statistical-codes	950d3370-9a3c-421e-b116-76e7511af9e9	Polsky TECHB@R (polsky)
statistical-codes	b76a3088-8de6-46c8-a130-c8e74b8d2c5b	Maps, electronic (emaps)
statistical-codes	c7a32c50-ea7c-43b7-87ab-d134c8371330	Active serial
statistical-codes	c4073462-6144-4b69-a543-dd131e241799	Withdrawn (withdrawn)
statistical-codes	6d584d0e-3dbc-46c4-a1bd-e9238dd9a6be	Streaming video (vidstream)
statistical-codes	a5ccf92e-7b1f-4990-ac03-780a6a767f37	Serials, electronic (eserials)
statistical-code-types	0d3ec58e-dc3c-4aa1-9eba-180fca95c544	RECM (Record management)
statistical-code-types	d816175b-578f-4056-af61-689f449c3c45	DISC (Discovery)
statistical-code-types	3abd6fc2-b3e4-4879-b1e1-78be41769fe3	ARL (Collection stats)
statistical-code-types	e2ab27f9-a726-4e5e-9963-fff9e6128680	SERM (Serial management)
statistical-code-types	82c6f849-f3be-41a3-95b3-00a715ce9305	Bibliografische Erscheinungsweise
statistical-code-types	01b7d4b2-1a4c-4b0f-94be-b3b2e32d2c5b	K10plus
service-points	c4c90014-c8c9-4ade-8f24-b5e313319f4b	Circulation Desk -- Back Entrance
service-points	3a40852d-49fd-4df2-a1f9-6e2641a6e91f	Circulation Desk -- Hallway
service-points	7c5abc9f-f3d7-4856-b8d7-6712462ca007	Online
electronic-access-relationships	5bfe1b7b-f151-4501-8cfa-23b321d5cd1e	Related resource
electronic-access-relationships	f50c90c9-bae0-4add-9cd0-db9092dbc9dd	No information provided
electronic-access-relationships	3b430592-2e09-4b48-9a0c-0636d66b9fb3	Version of resource
electronic-access-relationships	ef03d582-219c-4221-8635-bc92f1107021	No display constant generated
holdings-types	e6da6c98-6dd0-41bc-8b4b-cfd4bbd9c3ae	Serial
holdings-types	03c9c400-b9e3-4a07-ac0e-05ab470233ed	Monograph
holdings-types	dc35d0ae-e877-488b-8e97-6e41444e6d0a	Multi-part monograph
instance-statuses	2a340d34-6b70-443a-bb1b-1b8d1c65d862	Other
instance-statuses	52a2ff34-2a12-420d-8539-21aa8d3cf5d8	Batch Loaded
instance-statuses	f5cc2ab6-bb92-4cab-b83f-5a3d09261a41	Not yet assigned
instance-statuses	26f5208e-110a-4394-be29-1569a8c84a65	Uncataloged
instance-statuses	daf2681c-25af-4202-a3fa-e58fdf806183	Temporary
instance-statuses	9634a5ab-9228-4703-baf2-4d12ebc77d56	Cataloged
loan-types	e8b311a6-3b21-43f2-a269-dd9310cb2d0e	Course reserves
loan-types	a1dc1ce3-d56f-4d8a-b498-d5d674ccc845	Selected
loan-types	2e48e713-17f3-4c13-a9f8-23845bb210a4	Reading room
loan-types	2b94c631-fca9-4892-a730-03ee529ffe27	Can circulate
ill-policies	c51f7aa9-9997-45e6-94d6-b502445aae9d	Unknown reproduction policy
ill-policies	37fc2702-7ec9-482a-a4e3-5ed9a122ece1	Unknown lending policy
ill-policies	46970b40-918e-47a4-a45d-b1677a2d3d46	Will lend
ill-policies	6bc6a71f-d6e2-4693-87f1-f495afddff00	Will not reproduce
ill-policies	9e49924b-f649-4b36-ab57-e66e639a9b0e	Limited lending policy
ill-policies	2a572e7b-dfe5-4dee-8a62-b98d26a802e6	Will reproduce
ill-policies	2b870182-a23d-48e8-917d-9421e5c3ce13	Will lend hard copy only
ill-policies	b0f97013-87f5-4bab-87f2-ac4a5191b489	Will not lend
